anmalningsalternativKod,antagningsomgangKod,titel,organisation,studieort,utbildningsniva,undervisningssprak,studietakt,undervisningstid,undervisningsform,poang,poangEnhet,valdaAmnesNamn,examinaNamn,forkunskapskrav,studieavgiftTotal,studieavgiftDelsumma,kursbeskrivningUrl,distansBeskrivning,program,ar,startvecka,anmalningskod
91110,HT2026,3D-animation och visualisering,Högskolan Väst,Trollhättan,Grundnivå,Svenska,100,Dagtid,Normal,"180,0",hp,"Medieproduktion | Informationsteknik | Konst, design och media | Design | Filmvetenskap | Fotografi",Kandidatexamen,Grundläggande behörighet. Du behöver också: Samhällskunskap 1b eller Samhällskunskap 1a1 och 1a2. Eller: Samhälls­kunskap nivå 1b eller Samhälls­kunskap nivå 1a2,360000,60000,https://www.hv.se/utbildningstillfalle?uid=/6db051ec-058b-11f0-995d-ace44fd64422,,True,2026,202636,HT2026-HV-91110
52572,HT2026,3D-Teknik,Jönköping University,Värnamo,Grundnivå,Svenska,100,Dagtid,Normal,"120,0",hp,Teknik och teknisk industri,,Grundläggande behörighet,340000,85000,http://ju.se/studera/valj-utbildning/program/program-pa-grundniva/3d-teknik-ht2026-52572.html,,True,2026,202636,HT2026-HJ-52572
G5293,HT2026,Additiv tillverkning - högskoleingenjör maskinteknik,Mittuniversitetet,Östersund,Grundnivå,Svenska,100,Dagtid,Normal,"180,0",hp,"Produktutveckling | Maskinteknik | Material, konstruktion och tillverkning",Högskoleingenjörsexamen,Grundläggande behörighet,378000,63000,https://www.miun.se/utbildning/4a97aa21-0b09-11f0-995e-edad261c46a1,,True,2026,202636,HT2026-MIU-G5293
91125,MASTERHT26,"Aeronautical Engineering, masterprogram",Linköpings universitet,Linköping,Avancerad nivå,Engelska,100,Dagtid,Normal,"120,0",hp,"Maskinteknik | Teknik och teknisk industri | Material, konstruktion och tillverkning | Farkostteknik",,Kandidatexamen i något av följande eller motsvarande huvudområden: - flygteknik - maskinteknik 30 hp i matematik / tillämpad matematik och / eller tillämpning av matematik relevant för programmet. En kurs i grundläggande programmering. Engelska 6 eller Engelska nivå 2 Undantag för svenska,332000,83000,https://liu.se/utbildning/program/6maer,,True,2026,202635,MASTERHT26-LIU-91125
90125,HT2026,"Aeronautical Engineering, masterprogram - Andra sökomgången för svenska och EU/EEA-studenter",Linköpings universitet,Linköping,Avancerad nivå,Engelska,100,Dagtid,Normal,"120,0",hp,"Maskinteknik | Teknik och teknisk industri | Material, konstruktion och tillverkning | Farkostteknik",,Kandidatexamen i något av följande eller motsvarande huvudområden: - flygteknik - maskinteknik 30 hp i matematik / tillämpad matematik och / eller tillämpning av matematik relevant för programmet. En kurs i grundläggande programmering. Engelska 6 eller Engelska nivå 2 Undantag för svenska,332000,83000,https://liu.se/utbildning/program/6maer,,True,2026,202635,HT2026-LIU-90125
50026,HT2026,Affärsjuridiska kandidatprogrammet,Linköpings universitet,Linköping,Grundnivå,Svenska,100,Dagtid,Normal,"180,0",hp,Handelsrätt | Ekonomi | Juridik | Administration och förvaltning,Kandidatexamen,Grundläggande behörighet på grundnivå samt Samhällskunskap 1b eller 1a1 och 1a2 samt Engelska 6 samt Matematik 3b/3c eller Matematik C. Alternativt Grundläggande behörighet på grundnivå samt Samhällskunskap nivå 1b eller 1a2 samt Engelska nivå 2 samt Matematik fortsättning nivå 1b eller Matematik fortsättning nivå 1c.,322200,53700,https://liu.se/utbildning/program/f7kar,,True,2026,202633,HT2026-LIU-50026
90025,HT2026,Affärsjuridiska masterprogrammet,Linköpings universitet,Linköping,Avancerad nivå,Svenska,100,Dagtid,Normal,"120,0",hp,Handelsrätt | Ekonomi | Handelsrätt | Juridik,,"Affärsjuridisk kandidatexamen, 180 hp eller Affärsjuridisk kandidatexamen med internationell inriktning, 180 hp eller motsvarande Godkända resultat på kurser i - Fordrings- och krediträtt (7,5 hp) - Redovisning och redovisningsrätt (12 hp) - Finansiell planering (7,5 hp) - Finansiell ekonomi (7,5 hp) - Associationsrätt (15 hp) - Skatterätt (15 hp) - Arbetsrätt (7,5 hp) eller motsvarande Godkänd svenska och engelska motsvarande grundläggande behörighet på grundnivå",214800,53700,https://liu.se/utbildning/program/f7maf,,True,2026,202634,HT2026-LIU-90025
62118,HT2026,Affärsutvecklarprogrammet Bygg och Fastighet,Högskolan i Borås,Borås,Grundnivå,Svenska,100,Dagtid,Normal,"180,0",hp,Teknik och teknisk industri | Logistik | Byggnadsteknik | Industriell ekonomi och organisation | Kvalitetsteknik,Kandidatexamen,Grundläggande behörighet,417000,69500,https://www.hb.se/redirect/antagning/20262/62118/sv,,True,2026,202636,HT2026-HB-62118
60000,HT2026,Affärsutveckling och entreprenörskap inom samhällsbyggnadsteknik,Chalmers tekniska högskola,Göteborg,Grundnivå,Svenska,100,Dagtid,Normal,"180,0",hp,Entreprenörskap | Byggteknik | Samhällsplanering | Projektledning | Samhällsbyggnadsteknik,Kandidatexamen,Grundläggande behörighet,480000,80000,https://www.chalmers.se/utbildning/hitta-program/affarsutveckling-och-entreprenorskap-teknologie-kandidat/,,True,2026,202636,HT2026-CTH-60000
31227,HT2026,Affärsutveckling och marknadsföring - magisterprogram,Högskolan i Skövde,Skövde,Avancerad nivå,Engelska,100,Dagtid,Normal,"60,0",hp,Marknadsföring | Entreprenörskap | Företagsekonomi | Dataspelsutveckling,,"För att vara behörig till programmet krävs en kandidatexamen eller yrkesexamen om minst 180 högskolepoäng (eller motsvarande kunskaper). Vidare krävs godkänt betyg i Engelska 6 eller Engelska nivå 2 (eller motsvarande kunskaper). Motsvarande kunskaper visas normalt genom ett internationellt erkänt språktest, till exempel IELTS eller TOEFL.",110000,55000,https://www.his.se/affarsutveckling-marknadsforing,,True,2026,202636,HT2026-HS-31227
